Delta,J,M^2,Ms^2,N,O^2,delta_E,energy0,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,h,identity,k
0.0,0.0,0.22428303845637187,0.11365715081744465,7,2.9701619359914715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22428267934064622,0
0.0,0.05263157894736842,1.0000000000000013,0.020408163265306152,7,2.8486687236259884,5.551115123125783e-17,-0.36842105263157937,-0.3684210526315793,-0.1578947368421055,-0.3684210526315792,-0.3684210526315792,-0.36842105263157904,-0.3684210526315795,-0.36842105263157865,-0.368421052631579,-0.36842105263157976,0,0.999523080140877,0
0.0,0.10526315789473684,0.9999999999999987,0.0204081632653061,7,2.945033098203628,-4.440892098500626e-16,-0.7368421052631574,-0.7368421052631579,-0.7368421052631595,-0.7368421052631587,-0.736842105263158,-0.7368421052631574,-0.7368421052631586,-0.736842105263159,-0.7368421052631587,-0.7368421052631576,0,0.999765887790203,0
0.0,0.15789473684210525,1.0000000000000018,0.020408163265306166,7,2.0681194623712638,8.881784197001252e-16,-1.1052631578947396,-1.1052631578947387,-1.1052631578947383,-1.105263157894738,-1.1052631578947405,-1.1052631578947396,-1.1052631578947407,-1.1052631578947385,-1.1052631578947376,-1.105263157894736,0,0.9888433330677606,0
0.0,0.21052631578947367,1.0000000000000009,0.020408163265306145,7,2.8463341509093008,-1.7763568394002505e-15,-1.4736842105263162,-1.473684210526318,-1.4736842105263164,-1.4736842105263173,-1.4736842105263201,-1.473684210526319,-1.4736842105263175,-1.473684210526318,-1.4736842105263186,-1.4736842105263168,0,0.9999998165389774,0
0.0,0.2631578947368421,0.9999999999999996,0.020408163265306117,7,3.544350042893761,1.0526315789473684,-1.8421052631578954,-0.789473684210527,-1.842105263157896,-0.7894736842105269,-0.7894736842105265,-1.8421052631578942,-1.8421052631578956,-1.842105263157893,-1.842105263157894,-1.8421052631578938,0,0.9873947420275961,0
0.0,0.3157894736842105,1.0000000000000004,0.02040816326530613,7,3.4355780420689706,3.1086244689504383e-15,-2.2105263157894752,-2.210526315789472,-2.2105263157894695,-2.210526315789473,-2.210526315789473,-2.210526315789476,-2.210526315789473,-2.2105263157894752,-2.210526315789475,-2.2105263157894757,0,0.9807125293529205,0
0.0,0.3684210526315789,0.9999999999999991,0.02040816326530611,7,2.55890945215901,-3.552713678800501e-15,-2.5789473684210504,-2.578947368421054,-2.5789473684210558,-2.5789473684210504,-2.578947368421052,-2.578947368421057,-2.5789473684210518,-1.1052631578947387,-2.578947368421052,-2.578947368421053,0,0.9795036697353695,0
0.0,0.42105263157894735,1.0000000000000004,0.020408163265306138,7,2.7699083865856973,-2.6645352591003757e-15,-2.947368421052632,-2.9473684210526345,-2.9473684210526314,-2.9473684210526327,-2.9473684210526327,-2.9473684210526314,-2.9473684210526385,-2.9473684210526354,-2.947368421052633,-2.947368421052631,0,0.9999870514817337,0
0.0,0.47368421052631576,1.0000000000000002,0.02040816326530613,7,3.1056741957891196,1.894736842105263,-3.3157894736842106,-1.4210526315789476,-1.4210526315789476,-1.4210526315789476,-3.315789473684214,-3.315789473684208,-3.3157894736842155,-3.3157894736842066,-3.315789473684212,-3.3157894736842106,0,0.9318434225121461,0
0.0,0.5263157894736842,1.0,0.02040816326530613,7,2.6120675914085525,0.0,-3.684210526315791,-3.684210526315791,-3.6842105263157916,-3.6842105263157934,-3.684210526315793,-3.68421052631579,-3.684210526315794,-3.6842105263157907,-3.6842105263157934,-3.6842105263157947,0,0.9977124350228663,0
0.0,0.5789473684210527,0.9999999999999989,0.020408163265306107,7,3.6227571113243413,-8.881784197001252e-16,-4.052631578947367,-4.052631578947368,-4.052631578947366,-4.052631578947367,-4.052631578947375,-4.052631578947369,-4.052631578947365,-4.052631578947375,-4.052631578947369,-4.052631578947373,0,0.9935884868148057,0
0.0,0.631578947368421,1.0000000000000009,0.020408163265306145,7,3.00901337704855,7.105427357601002e-15,-4.421052631578956,-4.421052631578949,-4.421052631578955,-4.421052631578955,-4.4210526315789505,-4.421052631578953,-4.421052631578955,-4.421052631578946,-4.421052631578951,-4.421052631578951,0,0.9888205347825789,0
0.0,0.6842105263157894,0.9999999999999999,0.020408163265306124,7,2.2037278471218817,2.7368421052631566,-4.789473684210525,-2.052631578947368,-4.789473684210524,-4.789473684210521,-2.0526315789473704,-2.0526315789473677,-4.789473684210533,-4.789473684210531,-4.7894736842105345,-4.789473684210536,0,0.9736459560101153,0
0.0,0.7368421052631579,0.9999999999999996,0.02040816326530612,7,2.328650336576164,-1.7763568394002505e-15,-5.157894736842108,-5.15789473684211,-5.157894736842112,-5.157894736842104,-5.1578947368421115,-5.157894736842112,-5.157894736842104,-5.157894736842109,-5.157894736842106,-5.157894736842106,0,0.9749758932764664,0
