ground_J=0,-J_term,M^2,N,J,Delta,ground,index
-2.0000000000000018,0.0,0.1111111111111111,6.0,0.0,0.0,-2.0000000000000018,101101
-2.0000000000000013,-0.12244897959183673,1.0,6.0,0.020408163265306117,0.0,-2.122448979591838,111111
-2.0000000000000004,-0.24489795918367346,1.0,6.0,0.040816326530612235,0.0,-2.2448979591836737,111111
-2.0,-0.36734693877551017,1.0,6.0,0.061224489795918366,0.0,-2.3673469387755097,111111
-2.0000000000000018,-0.4897959183673469,1.0,6.0,0.08163265306122447,0.0,-2.4897959183673493,111111
-2.0000000000000004,-0.6122448979591836,1.0,6.0,0.1020408163265306,0.0,-2.612244897959184,000000
-2.000000000000001,-0.7346938775510203,1.0,6.0,0.12244897959183673,0.0,-2.734693877551021,000000
-2.0000000000000004,-0.8571428571428571,1.0,6.0,0.14285714285714285,0.0,-2.8571428571428577,111111
-2.0000000000000013,-0.9795918367346941,1.0,6.0,0.16326530612244894,0.0,-2.979591836734695,111111
-2.0000000000000004,-1.1020408163265305,1.0,6.0,0.18367346938775508,0.0,-3.1020408163265314,000000
-2.0000000000000013,-1.2244897959183672,1.0,6.0,0.2040816326530612,0.0,-3.2244897959183687,000000
-2.0000000000000004,-1.3469387755102038,1.0,6.0,0.22448979591836726,0.0,-3.346938775510204,111111
-2.0000000000000013,-1.4693877551020411,1.0,6.0,0.24489795918367346,0.0,-3.469387755102042,111111
-2.0000000000000004,-1.591836734693877,1.0,6.0,0.26530612244897955,0.0,-3.591836734693877,111111
-2.0,-1.7142857142857142,1.0,6.0,0.2857142857142857,0.0,-3.714285714285714,111111
-2.0000000000000004,-1.8367346938775508,1.0,6.0,0.3061224489795918,0.0,-3.8367346938775513,111111
-2.0,-1.9591836734693882,1.0,6.0,0.32653061224489793,0.0,-3.9591836734693877,000000
-2.0000000000000004,-2.0816326530612246,1.0,6.0,0.3469387755102041,0.0,-4.0816326530612255,111111
-2.000000000000001,-2.204081632653061,1.0,6.0,0.36734693877551017,0.0,-4.204081632653062,000000
-2.0000000000000004,-2.326530612244898,1.0,6.0,0.3877551020408163,0.0,-4.326530612244898,111111
-2.0000000000000018,-2.4489795918367343,1.0,6.0,0.4081632653061224,0.0,-4.4489795918367365,000000
-2.000000000000001,-2.5714285714285707,1.0,6.0,0.42857142857142855,0.0,-4.571428571428573,111111
-2.0,-2.6938775510204085,1.0,6.0,0.4489795918367345,0.0,-4.6938775510204085,111111
-2.0000000000000004,-2.8163265306122454,1.0,6.0,0.4693877551020408,0.0,-4.816326530612246,111111
-2.0,-2.9387755102040813,1.0,6.0,0.4897959183673469,0.0,-4.938775510204081,111111
