ground_J=0,-J_term,M^2,N,J,Delta,ground,index
-2.000000000000001,-1.6326530612244896,1.0,10.0,0.16326530612244894,0.040816326530612235,-3.6326530612244894,0000000000
-2.0000000000000013,-1.8367346938775508,1.0,10.0,0.18367346938775508,0.040816326530612235,-3.836734693877552,0000000000
-2.0,-2.040816326530612,1.0,10.0,0.2040816326530612,0.040816326530612235,-4.040816326530612,1111111111
-2.0000000000000013,-2.2448979591836733,1.0,10.0,0.22448979591836726,0.040816326530612235,-4.244897959183675,0000000000
-2.000000000000001,-2.4489795918367347,1.0,10.0,0.24489795918367346,0.040816326530612235,-4.4489795918367365,0000000000
-2.0000000000000018,-2.6530612244897958,1.0,10.0,0.26530612244897955,0.040816326530612235,-4.6530612244897975,1111111111
-2.000000000000001,-2.8571428571428568,1.0,10.0,0.2857142857142857,0.040816326530612235,-4.8571428571428585,1111111111
-2.0000000000000013,-3.0612244897959178,1.0,10.0,0.3061224489795918,0.040816326530612235,-5.061224489795919,1111111111
-2.0000000000000018,-3.2653061224489783,1.0,10.0,0.32653061224489793,0.040816326530612235,-5.265306122448981,0000000000
-2.000000000000002,-3.4693877551020407,1.0,10.0,0.3469387755102041,0.040816326530612235,-5.469387755102042,0000000000
-2.0,-3.6734693877551017,1.0,10.0,0.36734693877551017,0.040816326530612235,-5.673469387755104,1111111111
-2.000000000000001,-3.877551020408163,1.0,10.0,0.3877551020408163,0.040816326530612235,-5.8775510204081645,1111111111
-2.0,-4.081632653061224,1.0,10.0,0.4081632653061224,0.040816326530612235,-6.081632653061225,1111111111
-2.0000000000000013,-4.285714285714286,1.0,10.0,0.42857142857142855,0.040816326530612235,-6.2857142857142865,1111111111
-2.000000000000001,-4.489795918367347,1.0,10.0,0.4489795918367345,0.040816326530612235,-6.4897959183673475,0000000000
-2.0000000000000004,-4.6938775510204085,1.0,10.0,0.4693877551020408,0.040816326530612235,-6.6938775510204085,1111111111
-2.0000000000000013,-4.8979591836734695,1.0,10.0,0.4897959183673469,0.040816326530612235,-6.897959183673471,1111111111
-2.0000000000000018,-5.1020408163265305,1.0,10.0,0.5102040816326531,0.040816326530612235,-7.102040816326532,1111111111
-2.000000000000001,-5.3061224489795915,1.0,10.0,0.5306122448979591,0.040816326530612235,-7.306122448979592,1111111111
-2.0000000000000013,-5.5102040816326525,1.0,10.0,0.5510204081632653,0.040816326530612235,-7.5102040816326525,1111111111
-2.000000000000001,-5.7142857142857135,1.0,10.0,0.5714285714285714,0.040816326530612235,-7.7142857142857135,1111111111
-2.000000000000001,-5.918367346938775,1.0,10.0,0.5918367346938775,0.040816326530612235,-7.918367346938775,0000000000
-2.0000000000000004,-6.1224489795918355,1.0,10.0,0.6122448979591836,0.040816326530612235,-8.122448979591836,1111111111
-2.0,-6.3265306122448965,1.0,10.0,0.6326530612244897,0.040816326530612235,-8.326530612244897,1111111111
-2.0,-6.530612244897957,1.0,10.0,0.6530612244897959,0.040816326530612235,-8.530612244897958,1111111111
-2.0,-6.7346938775510194,1.0,10.0,0.6734693877551021,0.040816326530612235,-8.734693877551019,1111111111
-2.0,-6.938775510204081,1.0,10.0,0.6938775510204082,0.040816326530612235,-8.938775510204081,1111111111
-2.0000000000000013,-7.142857142857142,1.0,10.0,0.7142857142857142,0.040816326530612235,-9.142857142857146,0000000000
-2.0,-7.346938775510202,1.0,10.0,0.7346938775510203,0.040816326530612235,-9.346938775510203,1111111111
-2.0000000000000027,-7.551020408163263,1.0,10.0,0.7551020408163265,0.040816326530612235,-9.551020408163268,0000000000
-2.0000000000000013,-7.755102040816326,1.0,10.0,0.7755102040816326,0.040816326530612235,-9.755102040816329,1111111111
-2.0000000000000018,-7.959183673469387,1.0,10.0,0.7959183673469387,0.040816326530612235,-9.959183673469388,1111111111
-2.0000000000000013,-8.163265306122447,1.0,10.0,0.8163265306122448,0.040816326530612235,-10.16326530612245,1111111111
-2.0,-8.36734693877551,1.0,10.0,0.836734693877551,0.040816326530612235,-10.36734693877551,1111111111
-2.000000000000001,-8.571428571428571,1.0,10.0,0.8571428571428571,0.040816326530612235,-10.571428571428571,1111111111
-2.000000000000001,-8.775510204081634,1.0,10.0,0.8775510204081632,0.040816326530612235,-10.775510204081634,0000000000
-2.0000000000000004,-8.979591836734693,1.0,10.0,0.8979591836734693,0.040816326530612235,-10.979591836734693,1111111111
-2.0000000000000004,-9.183673469387754,1.0,10.0,0.9183673469387754,0.040816326530612235,-11.183673469387752,0000000000
-2.0,-9.387755102040817,1.0,10.0,0.9387755102040816,0.040816326530612235,-11.387755102040815,1111111111
-2.0,-9.591836734693876,1.0,10.0,0.9591836734693876,0.040816326530612235,-11.591836734693878,1111111111
-2.0000000000000013,-9.79591836734694,1.0,10.0,0.9795918367346941,0.040816326530612235,-11.79591836734694,1111111111
-2.0000000000000004,-10.0,1.0,10.0,1.0,0.040816326530612235,-12.0,1111111111
-2.1632653061224483,0.0,0.0,10.0,0.0,0.08163265306122447,-2.1632653061224483,1010101010
-2.0000000000000004,-0.2040816326530612,1.0,10.0,0.020408163265306117,0.08163265306122447,-2.204081632653061,0000000000
-2.0000000000000013,-0.4081632653061224,1.0,10.0,0.040816326530612235,0.08163265306122447,-2.408163265306124,0000000000
-2.0,-0.6122448979591837,1.0,10.0,0.061224489795918366,0.08163265306122447,-2.612244897959184,1111111111
-2.0000000000000018,-0.8163265306122448,1.0,10.0,0.08163265306122447,0.08163265306122447,-2.8163265306122467,1111111111
-2.0,-1.020408163265306,1.0,10.0,0.1020408163265306,0.08163265306122447,-3.0204081632653064,1111111111
-2.0000000000000018,-1.2244897959183674,1.0,10.0,0.12244897959183673,0.08163265306122447,-3.2244897959183687,0000000000
-2.0000000000000018,-1.4285714285714284,1.0,10.0,0.14285714285714285,0.08163265306122447,-3.4285714285714306,1111111111
-2.0,-1.6326530612244896,1.0,10.0,0.16326530612244894,0.08163265306122447,-3.6326530612244894,1111111111
-2.000000000000001,-1.8367346938775508,1.0,10.0,0.18367346938775508,0.08163265306122447,-3.8367346938775517,0000000000
-2.0,-2.040816326530612,1.0,10.0,0.2040816326530612,0.08163265306122447,-4.040816326530612,1111111111
-2.000000000000001,-2.2448979591836733,1.0,10.0,0.22448979591836726,0.08163265306122447,-4.244897959183675,1111111111
-2.0,-2.4489795918367347,1.0,10.0,0.24489795918367346,0.08163265306122447,-4.4489795918367365,0000000000
-2.0000000000000004,-2.6530612244897958,1.0,10.0,0.26530612244897955,0.08163265306122447,-4.653061224489797,1111111111
-2.0000000000000018,-2.8571428571428568,1.0,10.0,0.2857142857142857,0.08163265306122447,-4.8571428571428585,0000000000
-2.0,-3.0612244897959178,1.0,10.0,0.3061224489795918,0.08163265306122447,-5.061224489795918,1111111111
-2.0,-3.2653061224489783,1.0,10.0,0.32653061224489793,0.08163265306122447,-5.2653061224489806,1111111111
-2.0000000000000004,-3.4693877551020407,1.0,10.0,0.3469387755102041,0.08163265306122447,-5.469387755102041,1111111111
-2.0,-3.6734693877551017,1.0,10.0,0.36734693877551017,0.08163265306122447,-5.673469387755104,1111111111
-2.0000000000000004,-3.877551020408163,1.0,10.0,0.3877551020408163,0.08163265306122447,-5.8775510204081645,0000000000
-2.0000000000000013,-4.081632653061224,1.0,10.0,0.4081632653061224,0.08163265306122447,-6.0816326530612255,0000000000
-2.000000000000001,-4.285714285714286,1.0,10.0,0.42857142857142855,0.08163265306122447,-6.2857142857142865,1111111111
-2.0000000000000004,-4.489795918367347,1.0,10.0,0.4489795918367345,0.08163265306122447,-6.4897959183673475,1111111111
-2.000000000000001,-4.6938775510204085,1.0,10.0,0.4693877551020408,0.08163265306122447,-6.6938775510204085,1111111111
-2.0000000000000013,-4.8979591836734695,1.0,10.0,0.4897959183673469,0.08163265306122447,-6.897959183673471,1111111111
-2.000000000000001,-5.1020408163265305,1.0,10.0,0.5102040816326531,0.08163265306122447,-7.102040816326531,1111111111
-2.000000000000002,-5.3061224489795915,1.0,10.0,0.5306122448979591,0.08163265306122447,-7.306122448979592,0000000000
-2.0000000000000004,-5.5102040816326525,1.0,10.0,0.5510204081632653,0.08163265306122447,-7.5102040816326525,0000000000
-2.000000000000001,-5.7142857142857135,1.0,10.0,0.5714285714285714,0.08163265306122447,-7.7142857142857135,1111111111
-2.000000000000001,-5.918367346938775,1.0,10.0,0.5918367346938775,0.08163265306122447,-7.918367346938775,1111111111
-2.0000000000000013,-6.1224489795918355,1.0,10.0,0.6122448979591836,0.08163265306122447,-8.122448979591837,1111111111
-2.0000000000000004,-6.3265306122448965,1.0,10.0,0.6326530612244897,0.08163265306122447,-8.326530612244897,1111111111
-2.000000000000001,-6.530612244897957,1.0,10.0,0.6530612244897959,0.08163265306122447,-8.530612244897961,1111111111
-2.0,-6.7346938775510194,1.0,10.0,0.6734693877551021,0.08163265306122447,-8.734693877551019,1111111111
-2.000000000000001,-6.938775510204081,1.0,10.0,0.6938775510204082,0.08163265306122447,-8.938775510204081,1111111111
-2.0000000000000018,-7.142857142857142,1.0,10.0,0.7142857142857142,0.08163265306122447,-9.142857142857146,1111111111
-2.000000000000001,-7.346938775510202,1.0,10.0,0.7346938775510203,0.08163265306122447,-9.346938775510203,1111111111
-2.0,-7.551020408163263,1.0,10.0,0.7551020408163265,0.08163265306122447,-9.551020408163264,1111111111
-2.0000000000000018,-7.755102040816326,1.0,10.0,0.7755102040816326,0.08163265306122447,-9.755102040816329,0000000000
-2.0000000000000004,-7.959183673469387,1.0,10.0,0.7959183673469387,0.08163265306122447,-9.959183673469388,1111111111
-2.0000000000000004,-8.163265306122447,1.0,10.0,0.8163265306122448,0.08163265306122447,-10.163265306122447,1111111111
-2.0000000000000027,-8.36734693877551,1.0,10.0,0.836734693877551,0.08163265306122447,-10.367346938775512,1111111111
-2.0000000000000018,-8.571428571428571,1.0,10.0,0.8571428571428571,0.08163265306122447,-10.571428571428571,1111111111
-2.000000000000002,-8.775510204081634,1.0,10.0,0.8775510204081632,0.08163265306122447,-10.775510204081634,1111111111
-2.0000000000000013,-8.979591836734693,1.0,10.0,0.8979591836734693,0.08163265306122447,-10.979591836734695,1111111111
-2.000000000000001,-9.183673469387754,1.0,10.0,0.9183673469387754,0.08163265306122447,-11.183673469387756,1111111111
-2.0000000000000018,-9.387755102040817,1.0,10.0,0.9387755102040816,0.08163265306122447,-11.387755102040815,1111111111
-2.0000000000000013,-9.591836734693876,1.0,10.0,0.9591836734693876,0.08163265306122447,-11.59183673469388,0000000000
-2.0,-9.79591836734694,1.0,10.0,0.9795918367346941,0.08163265306122447,-11.79591836734694,1111111111
-2.0,-10.0,1.0,10.0,1.0,0.08163265306122447,-12.0,1111111111
-2.2448979591836737,0.0,0.0,10.0,0.0,0.12244897959183673,-2.2448979591836737,0101010101
-2.0000000000000004,-0.2040816326530612,1.0,10.0,0.020408163265306117,0.12244897959183673,-2.204081632653061,1111111111
-2.0,-0.4081632653061224,1.0,10.0,0.040816326530612235,0.12244897959183673,-2.4081632653061225,1111111111
-2.0000000000000018,-0.6122448979591837,1.0,10.0,0.061224489795918366,0.12244897959183673,-2.6122448979591857,1111111111
-2.0000000000000004,-0.8163265306122448,1.0,10.0,0.08163265306122447,0.12244897959183673,-2.8163265306122454,1111111111
-2.000000000000001,-1.020408163265306,1.0,10.0,0.1020408163265306,0.12244897959183673,-3.0204081632653064,0000000000
-2.0000000000000004,-1.2244897959183674,1.0,10.0,0.12244897959183673,0.12244897959183673,-3.2244897959183683,1111111111
-2.0000000000000013,-1.4285714285714284,1.0,10.0,0.14285714285714285,0.12244897959183673,-3.4285714285714297,1111111111
-2.0,-1.6326530612244896,1.0,10.0,0.16326530612244894,0.12244897959183673,-3.6326530612244894,0000000000
-2.0,-1.8367346938775508,1.0,10.0,0.18367346938775508,0.12244897959183673,-3.836734693877552,1111111111
-2.000000000000001,-2.040816326530612,1.0,10.0,0.2040816326530612,0.12244897959183673,-4.040816326530614,0000000000
-2.0000000000000018,-2.2448979591836733,1.0,10.0,0.22448979591836726,0.12244897959183673,-4.244897959183675,0000000000
-2.0000000000000004,-2.4489795918367347,1.0,10.0,0.24489795918367346,0.12244897959183673,-4.4489795918367365,1111111111
-2.000000000000003,-2.6530612244897958,1.0,10.0,0.26530612244897955,0.12244897959183673,-4.6530612244897975,1111111111
-2.0000000000000004,-2.8571428571428568,1.0,10.0,0.2857142857142857,0.12244897959183673,-4.8571428571428585,1111111111
-2.0,-3.0612244897959178,1.0,10.0,0.3061224489795918,0.12244897959183673,-5.061224489795918,1111111111
-2.000000000000001,-3.2653061224489783,1.0,10.0,0.32653061224489793,0.12244897959183673,-5.2653061224489806,1111111111
-2.0000000000000018,-3.4693877551020407,1.0,10.0,0.3469387755102041,0.12244897959183673,-5.469387755102042,0000000000
-2.0,-3.6734693877551017,1.0,10.0,0.36734693877551017,0.12244897959183673,-5.673469387755104,1111111111
-2.0000000000000013,-3.877551020408163,1.0,10.0,0.3877551020408163,0.12244897959183673,-5.8775510204081645,0000000000
-2.0,-4.081632653061224,1.0,10.0,0.4081632653061224,0.12244897959183673,-6.081632653061225,1111111111
-2.0000000000000004,-4.285714285714286,1.0,10.0,0.42857142857142855,0.12244897959183673,-6.2857142857142865,0000000000
-2.0000000000000004,-4.489795918367347,1.0,10.0,0.4489795918367345,0.12244897959183673,-6.4897959183673475,1111111111
-2.0000000000000004,-4.6938775510204085,1.0,10.0,0.4693877551020408,0.12244897959183673,-6.6938775510204085,0000000000
-2.0000000000000018,-4.8979591836734695,1.0,10.0,0.4897959183673469,0.12244897959183673,-6.897959183673471,0000000000
-2.0000000000000027,-5.1020408163265305,1.0,10.0,0.5102040816326531,0.12244897959183673,-7.102040816326532,0000000000
-2.0000000000000013,-5.3061224489795915,1.0,10.0,0.5306122448979591,0.12244897959183673,-7.306122448979592,1111111111
-2.000000000000001,-5.5102040816326525,1.0,10.0,0.5510204081632653,0.12244897959183673,-7.5102040816326525,0000000000
-2.0000000000000004,-5.7142857142857135,1.0,10.0,0.5714285714285714,0.12244897959183673,-7.7142857142857135,1111111111
-2.0000000000000013,-5.918367346938775,1.0,10.0,0.5918367346938775,0.12244897959183673,-7.918367346938775,1111111111
-2.0000000000000018,-6.1224489795918355,1.0,10.0,0.6122448979591836,0.12244897959183673,-8.122448979591837,0000000000
-2.000000000000002,-6.3265306122448965,1.0,10.0,0.6326530612244897,0.12244897959183673,-8.3265306122449,0000000000
-2.0000000000000004,-6.530612244897957,1.0,10.0,0.6530612244897959,0.12244897959183673,-8.530612244897961,1111111111
-2.0,-6.7346938775510194,1.0,10.0,0.6734693877551021,0.12244897959183673,-8.734693877551019,1111111111
-2.0,-6.938775510204081,1.0,10.0,0.6938775510204082,0.12244897959183673,-8.938775510204081,1111111111
-2.000000000000001,-7.142857142857142,1.0,10.0,0.7142857142857142,0.12244897959183673,-9.142857142857142,1111111111
-2.0000000000000004,-7.346938775510202,1.0,10.0,0.7346938775510203,0.12244897959183673,-9.346938775510203,1111111111
-2.0000000000000004,-7.551020408163263,1.0,10.0,0.7551020408163265,0.12244897959183673,-9.551020408163264,1111111111
-2.0000000000000013,-7.755102040816326,1.0,10.0,0.7755102040816326,0.12244897959183673,-9.755102040816329,1111111111
-2.0,-7.959183673469387,1.0,10.0,0.7959183673469387,0.12244897959183673,-9.959183673469388,1111111111
-2.0,-8.163265306122447,1.0,10.0,0.8163265306122448,0.12244897959183673,-10.163265306122447,1111111111
-2.000000000000001,-8.36734693877551,1.0,10.0,0.836734693877551,0.12244897959183673,-10.367346938775512,1111111111
-2.000000000000001,-8.571428571428571,1.0,10.0,0.8571428571428571,0.12244897959183673,-10.571428571428571,1111111111
-2.0000000000000004,-8.775510204081634,1.0,10.0,0.8775510204081632,0.12244897959183673,-10.775510204081634,1111111111
-2.0000000000000004,-8.979591836734693,1.0,10.0,0.8979591836734693,0.12244897959183673,-10.979591836734693,1111111111
-2.0,-9.183673469387754,1.0,10.0,0.9183673469387754,0.12244897959183673,-11.183673469387752,1111111111
-2.0,-9.387755102040817,1.0,10.0,0.9387755102040816,0.12244897959183673,-11.387755102040815,1111111111
-2.000000000000001,-9.591836734693876,1.0,10.0,0.9591836734693876,0.12244897959183673,-11.591836734693878,1111111111
-2.0000000000000018,-9.79591836734694,1.0,10.0,0.9795918367346941,0.12244897959183673,-11.79591836734694,1111111111
-2.0,-10.0,1.0,10.0,1.0,0.12244897959183673,-12.0,1111111111
-2.3265306122448983,0.0,0.0,10.0,0.0,0.16326530612244894,-2.3265306122448983,1010101010
-2.181736179306965,-0.040816326530612235,0.3600000000000001,10.0,0.020408163265306117,0.16326530612244894,-2.2225525058375766,1111101011
-2.0000000000000013,-0.4081632653061224,1.0,10.0,0.040816326530612235,0.16326530612244894,-2.408163265306124,1111111111
-2.0000000000000018,-0.6122448979591837,1.0,10.0,0.061224489795918366,0.16326530612244894,-2.6122448979591857,1111111111
-2.000000000000001,-0.8163265306122448,1.0,10.0,0.08163265306122447,0.16326530612244894,-2.816326530612246,0000000000
-2.000000000000001,-1.020408163265306,1.0,10.0,0.1020408163265306,0.16326530612244894,-3.0204081632653064,0000000000
-2.0000000000000004,-1.2244897959183674,1.0,10.0,0.12244897959183673,0.16326530612244894,-3.2244897959183683,1111111111
-2.000000000000004,-1.4285714285714284,1.0,10.0,0.14285714285714285,0.16326530612244894,-3.4285714285714315,1111111111
-2.0000000000000013,-1.6326530612244896,1.0,10.0,0.16326530612244894,0.16326530612244894,-3.6326530612244894,0000000000
-2.0000000000000013,-1.8367346938775508,1.0,10.0,0.18367346938775508,0.16326530612244894,-3.836734693877552,1111111111
-2.000000000000003,-2.040816326530612,1.0,10.0,0.2040816326530612,0.16326530612244894,-4.040816326530615,1111111111
-2.0000000000000013,-2.2448979591836733,1.0,10.0,0.22448979591836726,0.16326530612244894,-4.244897959183675,1111111111
-2.0000000000000004,-2.4489795918367347,1.0,10.0,0.24489795918367346,0.16326530612244894,-4.4489795918367365,1111111111
-2.000000000000002,-2.6530612244897958,1.0,10.0,0.26530612244897955,0.16326530612244894,-4.6530612244897975,1111111111
-2.0000000000000013,-2.8571428571428568,1.0,10.0,0.2857142857142857,0.16326530612244894,-4.8571428571428585,1111111111
-2.0000000000000004,-3.0612244897959178,1.0,10.0,0.3061224489795918,0.16326530612244894,-5.061224489795919,1111111111
-2.000000000000001,-3.2653061224489783,1.0,10.0,0.32653061224489793,0.16326530612244894,-5.2653061224489806,1111111111
-2.000000000000001,-3.4693877551020407,1.0,10.0,0.3469387755102041,0.16326530612244894,-5.469387755102042,0000000000
-2.0000000000000004,-3.6734693877551017,1.0,10.0,0.36734693877551017,0.16326530612244894,-5.673469387755104,1111111111
-2.000000000000001,-3.877551020408163,1.0,10.0,0.3877551020408163,0.16326530612244894,-5.8775510204081645,0000000000
-2.0000000000000013,-4.081632653061224,1.0,10.0,0.4081632653061224,0.16326530612244894,-6.0816326530612255,0000000000
-2.0000000000000004,-4.285714285714286,1.0,10.0,0.42857142857142855,0.16326530612244894,-6.2857142857142865,1111111111
-2.000000000000001,-4.489795918367347,1.0,10.0,0.4489795918367345,0.16326530612244894,-6.4897959183673475,0000000000
-2.0000000000000004,-4.6938775510204085,1.0,10.0,0.4693877551020408,0.16326530612244894,-6.6938775510204085,1111111111
-2.0000000000000013,-4.8979591836734695,1.0,10.0,0.4897959183673469,0.16326530612244894,-6.897959183673471,1111111111
-2.000000000000001,-5.1020408163265305,1.0,10.0,0.5102040816326531,0.16326530612244894,-7.102040816326531,0000000000
-2.0,-5.3061224489795915,1.0,10.0,0.5306122448979591,0.16326530612244894,-7.3061224489795915,1111111111
-2.000000000000001,-5.5102040816326525,1.0,10.0,0.5510204081632653,0.16326530612244894,-7.5102040816326525,1111111111
-2.000000000000001,-5.7142857142857135,1.0,10.0,0.5714285714285714,0.16326530612244894,-7.7142857142857135,1111111111
-2.0000000000000013,-5.918367346938775,1.0,10.0,0.5918367346938775,0.16326530612244894,-7.918367346938775,1111111111
-2.0000000000000018,-6.1224489795918355,1.0,10.0,0.6122448979591836,0.16326530612244894,-8.122448979591837,1111111111
-2.0000000000000004,-6.3265306122448965,1.0,10.0,0.6326530612244897,0.16326530612244894,-8.326530612244897,1111111111
-2.0000000000000004,-6.530612244897957,1.0,10.0,0.6530612244897959,0.16326530612244894,-8.530612244897961,1111111111
-2.0,-6.7346938775510194,1.0,10.0,0.6734693877551021,0.16326530612244894,-8.734693877551019,1111111111
-2.0,-6.938775510204081,1.0,10.0,0.6938775510204082,0.16326530612244894,-8.938775510204081,1111111111
-2.0000000000000027,-7.142857142857142,1.0,10.0,0.7142857142857142,0.16326530612244894,-9.142857142857146,0000000000
-2.0,-7.346938775510202,1.0,10.0,0.7346938775510203,0.16326530612244894,-9.346938775510203,1111111111
-2.0,-7.551020408163263,1.0,10.0,0.7551020408163265,0.16326530612244894,-9.551020408163264,1111111111
-2.000000000000001,-7.755102040816326,1.0,10.0,0.7755102040816326,0.16326530612244894,-9.755102040816329,1111111111
-2.0000000000000013,-7.959183673469387,1.0,10.0,0.7959183673469387,0.16326530612244894,-9.959183673469388,1111111111
-2.0000000000000004,-8.163265306122447,1.0,10.0,0.8163265306122448,0.16326530612244894,-10.163265306122447,1111111111
-2.0000000000000018,-8.36734693877551,1.0,10.0,0.836734693877551,0.16326530612244894,-10.367346938775512,1111111111
-2.0000000000000013,-8.571428571428571,1.0,10.0,0.8571428571428571,0.16326530612244894,-10.571428571428571,0000000000
