2019-09-09 16:02:15,600 - Successful N = 4, h = 0.44, Delta = 0.5, J = 0, t=1
2019-09-09 16:02:15,600 - Saving N = 4, h = 0.44, Delta = 0.5, J = 0, t=1
2019-09-09 16:02:15,652 - Successful N = 4, h = 0.44, Delta = 0.5204081632653061, J = 0, t=1
2019-09-09 16:02:15,653 - Saving N = 4, h = 0.44, Delta = 0.5204081632653061, J = 0, t=1
2019-09-09 16:02:15,700 - Successful N = 4, h = 0.44, Delta = 0.5408163265306123, J = 0, t=1
2019-09-09 16:02:15,700 - Saving N = 4, h = 0.44, Delta = 0.5408163265306123, J = 0, t=1
2019-09-09 16:02:15,745 - Successful N = 4, h = 0.44, Delta = 0.5612244897959183, J = 0, t=1
2019-09-09 16:02:15,745 - Saving N = 4, h = 0.44, Delta = 0.5612244897959183, J = 0, t=1
2019-09-09 16:02:15,789 - Successful N = 4, h = 0.44, Delta = 0.5816326530612245, J = 0, t=1
2019-09-09 16:02:15,789 - Saving N = 4, h = 0.44, Delta = 0.5816326530612245, J = 0, t=1
2019-09-09 16:02:15,832 - Successful N = 4, h = 0.44, Delta = 0.6020408163265306, J = 0, t=1
2019-09-09 16:02:15,832 - Saving N = 4, h = 0.44, Delta = 0.6020408163265306, J = 0, t=1
2019-09-09 16:02:15,876 - Successful N = 4, h = 0.44, Delta = 0.6224489795918368, J = 0, t=1
2019-09-09 16:02:15,876 - Saving N = 4, h = 0.44, Delta = 0.6224489795918368, J = 0, t=1
2019-09-09 16:02:15,920 - Successful N = 4, h = 0.44, Delta = 0.6428571428571428, J = 0, t=1
2019-09-09 16:02:15,920 - Saving N = 4, h = 0.44, Delta = 0.6428571428571428, J = 0, t=1
2019-09-09 16:02:15,963 - Successful N = 4, h = 0.44, Delta = 0.6632653061224489, J = 0, t=1
2019-09-09 16:02:15,963 - Saving N = 4, h = 0.44, Delta = 0.6632653061224489, J = 0, t=1
2019-09-09 16:02:16,006 - Successful N = 4, h = 0.44, Delta = 0.6836734693877551, J = 0, t=1
2019-09-09 16:02:16,006 - Saving N = 4, h = 0.44, Delta = 0.6836734693877551, J = 0, t=1
2019-09-09 16:02:16,050 - Successful N = 4, h = 0.44, Delta = 0.7040816326530612, J = 0, t=1
2019-09-09 16:02:16,050 - Saving N = 4, h = 0.44, Delta = 0.7040816326530612, J = 0, t=1
2019-09-09 16:02:16,093 - Successful N = 4, h = 0.44, Delta = 0.7244897959183674, J = 0, t=1
2019-09-09 16:02:16,093 - Saving N = 4, h = 0.44, Delta = 0.7244897959183674, J = 0, t=1
2019-09-09 16:02:16,137 - Successful N = 4, h = 0.44, Delta = 0.7448979591836735, J = 0, t=1
2019-09-09 16:02:16,137 - Saving N = 4, h = 0.44, Delta = 0.7448979591836735, J = 0, t=1
2019-09-09 16:02:16,180 - Successful N = 4, h = 0.44, Delta = 0.7653061224489796, J = 0, t=1
2019-09-09 16:02:16,180 - Saving N = 4, h = 0.44, Delta = 0.7653061224489796, J = 0, t=1
2019-09-09 16:02:16,224 - Successful N = 4, h = 0.44, Delta = 0.7857142857142857, J = 0, t=1
2019-09-09 16:02:16,224 - Saving N = 4, h = 0.44, Delta = 0.7857142857142857, J = 0, t=1
2019-09-09 16:02:16,267 - Successful N = 4, h = 0.44, Delta = 0.8061224489795917, J = 0, t=1
2019-09-09 16:02:16,267 - Saving N = 4, h = 0.44, Delta = 0.8061224489795917, J = 0, t=1
2019-09-09 16:02:16,311 - Successful N = 4, h = 0.44, Delta = 0.8265306122448979, J = 0, t=1
2019-09-09 16:02:16,311 - Saving N = 4, h = 0.44, Delta = 0.8265306122448979, J = 0, t=1
2019-09-09 16:02:16,354 - Successful N = 4, h = 0.44, Delta = 0.846938775510204, J = 0, t=1
2019-09-09 16:02:16,354 - Saving N = 4, h = 0.44, Delta = 0.846938775510204, J = 0, t=1
2019-09-09 16:02:16,398 - Successful N = 4, h = 0.44, Delta = 0.8673469387755102, J = 0, t=1
2019-09-09 16:02:16,398 - Saving N = 4, h = 0.44, Delta = 0.8673469387755102, J = 0, t=1
2019-09-09 16:02:16,441 - Successful N = 4, h = 0.44, Delta = 0.8877551020408163, J = 0, t=1
2019-09-09 16:02:16,441 - Saving N = 4, h = 0.44, Delta = 0.8877551020408163, J = 0, t=1
2019-09-09 16:02:16,485 - Successful N = 4, h = 0.44, Delta = 0.9081632653061225, J = 0, t=1
2019-09-09 16:02:16,485 - Saving N = 4, h = 0.44, Delta = 0.9081632653061225, J = 0, t=1
2019-09-09 16:02:16,528 - Successful N = 4, h = 0.44, Delta = 0.9285714285714286, J = 0, t=1
2019-09-09 16:02:16,528 - Saving N = 4, h = 0.44, Delta = 0.9285714285714286, J = 0, t=1
2019-09-09 16:02:16,581 - Successful N = 4, h = 0.44, Delta = 0.9489795918367346, J = 0, t=1
2019-09-09 16:02:16,582 - Saving N = 4, h = 0.44, Delta = 0.9489795918367346, J = 0, t=1
2019-09-09 16:02:16,631 - Successful N = 4, h = 0.44, Delta = 0.9693877551020408, J = 0, t=1
